Timestamp,Lat,Long,LocAccuracy,Altitude
548690824.230879,33.036917,-116.866919,10.000000,437.298107
548690825.231203,33.036917,-116.866919,5.000000,437.320263
548690826.230510,33.036917,-116.866919,5.000000,437.701305
548690827.230965,33.036917,-116.866919,5.000000,437.932384
548690828.230893,33.036949,-116.866928,5.000000,438.005260
548690829.230861,33.036958,-116.866938,5.000000,438.074352
548690830.230965,33.036976,-116.866971,5.000000,438.327587
548690831.230899,33.037027,-116.867016,5.000000,438.087170
548690832.230363,33.037095,-116.867037,5.000000,438.109203
548690833.230885,33.037155,-116.867084,5.000000,438.207043
548690834.230935,33.037231,-116.867143,5.000000,438.217175
548690835.230534,33.037318,-116.867210,5.000000,438.068554
548690836.230874,33.037409,-116.867280,5.000000,437.493053
548690837.230818,33.037507,-116.867356,5.000000,437.503735
548690838.230790,33.037612,-116.867437,5.000000,437.240490
548690839.230767,33.037720,-116.867520,5.000000,437.072277
548690840.230847,33.037836,-116.867610,5.000000,436.994091
548690841.230734,33.037955,-116.867702,5.000000,436.983166
548690842.230717,33.038076,-116.867796,5.000000,437.054821
548690843.230690,33.038190,-116.867884,5.000000,438.399975
548690844.230669,33.038297,-116.867966,5.000000,438.444225
548690845.230856,33.038424,-116.868065,5.000000,437.664928
548690846.230638,33.038510,-116.868131,5.000000,437.377453
548690847.230631,33.038667,-116.868252,5.000000,437.641735
548690848.230443,33.038784,-116.868343,5.000000,437.068737
548690849.232528,33.038911,-116.868441,5.000000,436.656872
548690850.230816,33.039028,-116.868532,5.000000,436.929089
548690851.230703,33.039145,-116.868623,5.000000,437.532970
548690852.230562,33.039258,-116.868710,5.000000,437.409191
548690853.230516,33.039368,-116.868795,5.000000,437.220470
548690854.230035,33.039490,-116.868889,5.000000,438.174450
548690855.230527,33.039593,-116.868969,5.000000,437.970837
548690856.230485,33.039695,-116.869048,5.000000,437.747814
548690857.230517,33.039787,-116.869119,5.000000,437.598095
548690858.230434,33.039877,-116.869189,5.000000,436.373730
548690859.230495,33.039968,-116.869259,5.000000,436.074474
548690860.230527,33.040051,-116.869323,5.000000,435.764782
548690861.230371,33.040125,-116.869381,5.000000,436.057629
548690862.230362,33.040169,-116.869415,5.000000,436.163097
548690863.230326,33.040209,-116.869446,5.000000,436.980053
548690864.230326,33.040224,-116.869458,5.000000,436.639782
548690865.230192,33.040236,-116.869467,5.000000,436.783703
548690866.230278,33.040248,-116.869476,5.000000,437.006969
548690867.230274,33.040295,-116.869511,5.000000,436.685558
548690868.230273,33.040348,-116.869550,5.000000,436.885876
548690869.230309,33.040421,-116.869604,5.000000,436.653088
548690870.230174,33.040498,-116.869661,5.000000,436.750500
548690871.230191,33.040584,-116.869725,5.000000,437.330761
548690872.230197,33.040675,-116.869792,5.000000,437.511242
548690873.230163,33.040689,-116.869803,5.000000,437.446911
548690874.230041,33.040821,-116.869907,5.000000,437.198132
548690875.230114,33.040887,-116.869958,5.000000,437.191540
548690876.230082,33.040953,-116.870011,5.000000,437.471569
548690877.230086,33.041000,-116.870047,5.000000,437.277599
548690878.230117,33.041043,-116.870082,5.000000,437.541271
548690879.230155,33.041067,-116.870101,5.000000,437.565807
548690880.230061,33.041082,-116.870113,5.000000,437.748791
548690881.229588,33.041057,-116.870092,5.000000,436.720348
548690882.230032,33.041056,-116.870092,5.000000,435.738476
548690883.230075,33.041057,-116.870093,5.000000,435.470226
548690884.230761,33.041057,-116.870093,5.000000,435.640148
548690885.229973,33.041056,-116.870092,5.000000,435.459545
548690886.229962,33.041056,-116.870092,5.000000,435.235485
548690887.229926,33.041057,-116.870093,5.000000,435.339184
548690888.229926,33.041057,-116.870093,5.000000,435.522961
548690889.230240,33.041057,-116.870093,5.000000,435.205395
548690890.229875,33.041057,-116.870093,5.000000,435.507580
548690891.229901,33.041057,-116.870093,5.000000,435.745495
548690892.229870,33.041048,-116.870086,5.000000,435.714428
548690893.229812,33.041053,-116.870089,5.000000,435.766369
548690894.229876,33.041058,-116.870093,5.000000,435.918835
548690895.229738,33.041060,-116.870095,5.000000,435.433483
548690896.229774,33.041057,-116.870093,5.000000,435.230358
548690897.229753,33.041057,-116.870093,5.000000,435.371288
548690898.229733,33.041058,-116.870093,5.000000,435.291149
548690899.229834,33.041058,-116.870093,5.000000,435.279308
548690900.229719,33.041058,-116.870093,5.000000,435.354992
548690901.229665,33.041058,-116.870093,5.000000,434.999401
548690902.229716,33.041058,-116.870093,5.000000,435.085094
548690903.229642,33.041051,-116.870088,5.000000,435.339306
548690904.229809,33.041067,-116.870100,5.000000,435.438244
548690905.229608,33.041108,-116.870133,5.000000,435.600231
548690906.229614,33.041139,-116.870157,8.554879,435.430065
548690907.229595,33.041101,-116.870307,5.000000,435.825024
548690908.229577,33.041073,-116.870397,5.000000,436.112804
548690909.229523,33.041042,-116.870492,5.000000,436.501904
548690910.229533,33.040988,-116.870612,5.000000,436.443005
548690911.229516,33.040927,-116.870720,5.000000,436.251537
548690912.229478,33.040854,-116.870844,5.000000,436.450573
548690913.229462,33.040785,-116.870983,5.000000,436.400158
548690914.229397,33.040713,-116.871112,5.000000,436.304516
548690915.229322,33.040630,-116.871250,5.000000,436.114147
548690916.229506,33.040557,-116.871389,5.000000,436.295971
548690917.229395,33.040477,-116.871535,5.000000,437.276257
548690918.229406,33.040405,-116.871668,5.000000,436.835705
548690919.229402,33.040334,-116.871796,5.000000,437.471569
548690920.229342,33.040250,-116.871945,5.000000,436.902233
548690921.229320,33.040180,-116.872071,5.000000,436.457958
548690922.229322,33.040109,-116.872202,5.000000,436.478283
548690923.229499,33.040039,-116.872326,5.000000,436.560192
548690924.229271,33.039973,-116.872451,5.000000,436.859631
548690925.229151,33.039906,-116.872573,5.000000,437.101940
548690926.229225,33.039843,-116.872684,5.000000,437.368786
548690927.229246,33.039779,-116.872795,5.000000,437.160473
548690928.229311,33.039717,-116.872907,5.000000,436.555920
548690929.229212,33.039663,-116.873012,5.000000,436.624279
548690930.229162,33.039607,-116.873118,5.000000,436.828075
548690931.229149,33.039560,-116.873208,5.000000,437.364635
548690932.229137,33.039506,-116.873304,5.000000,437.490612
